clean,corrupted,target,corr_target
"1,2,3,4,","1,1,1,1,",5,1
1 2 3 4 ,1 1 1 1 ,5,1
"I,II,III,IV,","I,I,I,I,",V,I
"10,20,30,40,","10,10,10,10,",50,10
"3,6,9,12,","3,3,3,3,",15,3
3 6 9 12 ,3 3 3 3 ,15,3
I II III IV ,I I I I ,V,I
"11,15,19,23,","11,11,11,11,",27,11
"65,64,63,62,","65,65,65,65,",61,65
"A,B,C,D,","A,A,A,A,",E,A
"p,q,r,s,","p,p,p,p,",t,p
"alpha,beta,","alpha,alpha,",gamma,alpha
"Monday,Tuesday,Wednesday,","Monday,Monday,Monday,",Thursday,Monday
"may,june,july,","may,may,may,",august,may
"mercury,venus,earth,","mercury,mercury,mercury,",mars,mercury
"5,4,3,2,","5,5,5,5,",1,5
"1601,1701,1801,","1601,1601,1601,",1901,1601
"Saturday,Sunday,Monday,","Saturday,Saturday,Saturday,",Tuesday,Saturday
"1,11,111,1111,","1,1,1,1,",11111,1
"2,22,222,2222,","2,2,2,2,",22222,2
"I,II,III,IIII,IIIII,","I,I,I,I,I,",IIIIII,I
"V,VV,VVV,","V,V,V,",VVVV,V
"x,xx,xxx,","x,x,x,",xxxx,x
"XX,XXXX,","XX,XX,",XXXXXX,XX
